case_id,transaction_id,dispute_description,ground_truth_reason,transaction_amount,missing_document,contradiction,expected_human_review,synthetic
SYN-01212,TXN-263450,merchant has not processed my refund,Refund not processed,32620.03,False,False,False,True
SYN-01189,TXN-136118,I do not rcognize this payment,Transaction not recognized,16406.31,True,False,True,True
SYN-01350,TXN-602171,charged the wrong amount. ref tx,Incorrect transaction amount,23191.7,False,False,False,True
SYN-00858,TXN-817318,item is different from its description,Product not as described,24452.1,False,False,False,True
SYN-00926,TXN-207392,charged the wrong amount,Incorrect transaction amount,68326.85,False,False,False,True
SYN-01302,TXN-404154,charged te wrong amount,Incorrect transaction amount,64363.76,False,False,False,True
SYN-01264,TXN-276394,unclear problem with this purchase,Other,51022.19,False,False,True,True
SYN-00478,TXN-716493,amount taken is higher than agreed,Incorrect transaction amount,11284.49,False,False,False,True
SYN-01312,TXN-984015,unclear problem with this purchase. possible mix up,Other,69282.31,False,False,True,True
SYN-01061,TXN-933206,I do not recognize this payment,Transaction not recognized,63958.66,False,False,False,True
SYN-00930,TXN-333159,service was not as advertised,Product not as described,61129.96,False,True,True,True
SYN-01494,TXN-847841,invoice total differs from debit,Incorrect transaction amount,71535.61,False,False,False,True
SYN-01364,TXN-240082,refund promised but not received. please help,Refund not processed,35649.16,False,False,False,True
SYN-00984,TXN-136500,payment dispute needs investigation,Other,67911.07,True,False,True,True
SYN-01468,TXN-705282,refund promised but not received,Refund not processed,23173.89,True,True,True,True
SYN-00625,TXN-766764,order never delivered although tracking says pending,Product not received,29304.34,False,True,True,True
SYN-00098,TXN-410636,service was not as advertised,Product not as described,62480.43,False,False,False,True
SYN-00828,TXN-870033,merchant has not processed my refund,Refund not processed,15971.3,False,False,False,True
SYN-01162,TXN-373820,service was not as advertised,Product not as described,40825.34,False,False,False,True
SYN-01583,TXN-274872,renewal debit after cancellation,Subscription cancellation dispute,34163.83,True,True,True,True
SYN-00414,TXN-180813,invoice total differs from debit,Incorrect transaction amount,43333.12,True,False,True,True
SYN-00492,TXN-904858,refund promised but not received,Refund not processed,58566.49,False,True,True,True
SYN-00604,TXN-106918,return completed but money not credited,Refund not processed,66560.35,True,False,True,True
SYN-01253,TXN-977885,I do not recognize this payment. please help,Transaction not recognized,70728.11,False,True,True,True
SYN-00540,TXN-195310,merchant has not processed y refund,Refund not processed,211.69,False,False,False,True
