case_id,transaction_id,dispute_description,ground_truth_reason,transaction_amount,missing_document,contradiction,expected_human_review,synthetic
SYN-01405,TXN-826559,unknown purchase on my statement,Transaction not recognized,26730.34,True,False,True,True
SYN-01496,TXN-373951,payment dispute needs investigation. custmer says,Other,7539.87,False,False,False,True
SYN-00620,TXN-546768,return completed but money not credited. custmer says,Refund not processed,8171.53,False,False,False,True
SYN-01542,TXN-244462,charged the wrng amount,Incorrect transaction amount,32126.58,False,False,False,True
SYN-00831,TXN-431023,membership was cancelled but billing continued. possible mix up,Subscription cancellation dispute,28773.29,True,False,True,True
SYN-00116,TXN-639593,return completed but money not credited. please help,Refund not processed,30431.7,True,False,True,True
SYN-00850,TXN-763529,service was not as advertised. custmer says,Product not as described,36589.95,True,False,True,True
SYN-00649,TXN-237509,order never delivered although tracking says pending,Product not received,13654.89,False,False,False,True
SYN-00575,TXN-818699,renewal debit after cancellation,Subscription cancellation dispute,16144.71,True,False,True,True
SYN-01080,TXN-654844,I have another issue with this transaction,Other,38585.79,False,False,False,True
SYN-00162,TXN-819425,service was not as advertised. custmer says,Product not as described,30240.37,True,False,True,True
SYN-01065,TXN-460875,order never delivered although tracking says pending,Product not received,55753.52,False,False,False,True
SYN-00581,TXN-514306,unknown purchase on my statement,Transaction not recognized,32937.61,True,False,True,True
SYN-00042,TXN-377312,service was not as advertised. possible mix up,Product not as described,65883.78,False,True,True,True
SYN-00341,TXN-477400,I do not recognize this payment,Transaction not recognized,23257.71,True,True,True,True
SYN-00643,TXN-616256,same transaction debited two times. possible mix up,Duplicate charge,46625.55,True,False,True,True
SYN-00526,TXN-427897,invoice total differs from debit. possible mix up,Incorrect transaction amount,60159.19,True,False,True,True
SYN-00441,TXN-941134,order never delivered although tracking says pending,Product not received,18835.5,False,False,False,True
SYN-00402,TXN-777558,service was not as advertised,Product not as described,29502.37,False,False,False,True
SYN-01008,TXN-248683,payment dispute needs investigation,Other,39875.23,True,False,True,True
SYN-01380,TXN-108890,refund promised but not received,Refund not processed,70774.43,True,False,True,True
